Urchin_metamorphosis.csv,Block,Number,Jar,Start_time,Start_date,Type,Treated_species,Species_gen_code,Cor_type,Species_genetic_only,Species_genetic,Morpho_species,Genus,Species_code,Recorder,Date,Time_period,Time,Coralline_area,Meta_coralline,Meta_jar,Meta_undergoing,Free_swimming,Notes,Total_urchins,Swabbing
bottom,M,6,M06,11:11:00 AM,2021-02-27,Untreated,yes,BAT-urchinM06,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Brenton Twist,2021-03-01,48hrs,16:16,1.909,1,0,2,15,,18,
bottom,O,3,O03,11:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinO03,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Nathan Duifhuis,2021-02-28,24hrs,14:56,3.201,1,0,0,17,,18,
bottom,O,3,O03,11:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinO03,Crustose Coralline,Chiharaea americana f. bodegensis,,Chiharaea americana f. bodegensis,Chiharaea,Chihar,Stefanie Duff,2021-03-01,48hrs,16:52,3.201,1,2,4,10,3,20,
top,A,4,A04,9:40:00 AM,2021-02-27,Untreated,yes,BAT-urchinA04,Control,Control,,Control,Control,Contr1,Brenton Twist,2021-02-28,24hrs,9:43,16.46,0,0,1,17,,18,
top,A,4,A04,9:40:00 AM,2021-02-27,Untreated,yes,BAT-urchinA04,Control,Control,,Control,Control,Contr1,Tereno Johson,2021-03-01,48hrs,9:23,16.46,0,1,1,18,,20,
top,C,7,C07,10:08:00 AM,2021-02-27,Untreated,yes,BAT-urchinC07,Control,Control,,Control,Control,Contr1,Brenton Twist,2021-02-28,24hrs,10:54,16.46,0,0,0,17,,17,
top,C,7,C07,10:08:00 AM,2021-02-27,Untreated,yes,BAT-urchinC07,Control,Control,,Control,Control,Contr1,Brenton Twist,2021-03-01,48hrs,10:43,16.46,0,0,1,17,,18,
top,E,2,E02,10:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinE02,Control,Control,,Control,Control,Contr1,Tereno Johson,2021-02-28,24hrs,11:22,15.809,0,0,2,18,,20,
top,E,2,E02,10:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinE02,Control,Control,,Control,Control,Contr1,Jessica Driver,2021-03-01,48hrs,11:57,15.809,0,0,0,20,,20,
middle,G,1,G01,10:35:00 AM,2021-02-27,Untreated,yes,BAT-urchinG01,Control,Control,,Control,Control,Contr1,Nathan Duifhuis,2021-02-28,24hrs,12:01,16.825,0,0,0,16,,16,
middle,G,1,G01,10:35:00 AM,2021-02-27,Untreated,yes,BAT-urchinG01,Control,Control,,Control,Control,Contr1,Will Gartrell,2021-03-01,48hrs,13:37,16.825,0,0,2,16,,18,
middle,I,4,I04,10:49:00 AM,2021-02-27,Untreated,yes,BAT-urchinI04,Control,Control,,Control,Control,Contr1,Nathan Duifhuis,2021-02-28,24hrs,13:06,18.002,0,0,0,17,,17,
middle,I,4,I04,10:49:00 AM,2021-02-27,Untreated,yes,BAT-urchinI04,Control,Control,,Control,Control,Contr1,Joel Filgate-McNabb,2021-03-01,48hrs,14:47,18.002,0,1,7,13,,21,
middle,K,12,K12,11:00:00 AM,2021-02-27,Untreated,yes,BAT-urchinK12,Control,Control,,Control,Control,Contr1,Tereno Johson,2021-02-28,24hrs,13:51,16.643,0,2,1,15,,18,
middle,K,12,K12,11:00:00 AM,2021-02-27,Untreated,yes,BAT-urchinK12,Control,Control,,Control,Control,Contr1,Brenton Twist,2021-03-01,48hrs,15:52,16.643,0,1,0,18,,19,
bottom,M,10,M10,11:11:00 AM,2021-02-27,Untreated,yes,BAT-urchinM10,Control,Control,,Control,Control,Contr1,Tereno Johson,2021-02-28,24hrs,14:23,16.643,0,1,0,19,,20,
bottom,M,10,M10,11:11:00 AM,2021-02-27,Untreated,yes,BAT-urchinM10,Control,Control,,Control,Control,Contr1,Joel Filgate-McNabb,2021-03-01,48hrs,16:24,16.643,0,1,13,5,,19,
bottom,O,12,O12,11:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinO12,Control,Control,,Control,Control,Contr1,Brenton Twist,2021-02-28,24hrs,15:08,16.643,0,0,2,13,,15,
bottom,O,12,O12,11:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinO12,Control,Control,,Control,Control,Contr1,Tereno Johson,2021-03-01,48hrs,17:10,16.643,0,1,3,15,,19,
bottom,M,7,M07,11:11:00 AM,2021-02-27,Untreated,yes,BAT-urchinM07,Crustose Coralline,Crusticorallina muricata,Crusticorallina muricata,Crusticorallina sp1,Crusticorallina,Crust1,Brenton Twist,2021-02-28,24hrs,14:18,2.853,0,2,1,13,,16,
bottom,M,7,M07,11:11:00 AM,2021-02-27,Untreated,yes,BAT-urchinM07,Crustose Coralline,Crusticorallina muricata,Crusticorallina muricata,Crusticorallina sp1,Crusticorallina,Crust1,Tereno Johson,2021-03-01,48hrs,16:20,2.853,0,4,6,9,,19,
