,swab.ID,General.ID,Substrate,Boulder,DNA.ID,DNA.ID.updated,Sampling.day,Comments,Corraline.area,Sample.location,Photo,Location,Latitude,Longitude,sequencing_output,Forward sequencing reads file name,Reverse sequencing reads file name
30,D1S48,B6_rock,Rock,6,NA,#N/A,8/07/2026,No_comment,Continuous,Laboratory,NA,NA,NA,NA,Success,D1S48_S17_L001_R1_001.fastq.gz,D1S48_S17_L001_R2_001.fastq.gz
31,D2S07,B15C,Corraline,15,Lithophyllum impressum,Lithophyllum impressum,09/07/2019,No_comment,Continuous,Boat,B15C_DSC_3266.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S07_S9_L001_R1_001.fastq.gz,D2S07_S9_L001_R2_001.fastq.gz
32,D2W1,Water2,Water,Other,NA,#N/A,09/07/2019,No_comment,NA,Boat,NA,NA,NA,NA,Success,D2W1_S29_L001_R1_001.fastq.gz,D2W1_S29_L001_R2_001.fastq.gz
33,D1S20,B1A,Corraline,1,Crusticorallina maricata,Crusticorallina muricata,8/07/2019,No_comment,Continuous,Boat,B1A_DSC_3192.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D1S20_S21_L001_R1_001.fastq.gz,D1S20_S21_L001_R2_001.fastq.gz
34,D3W2,Water4,Water,Other,NA,#N/A,10/07/2019,No_comment,NA,Laboratory,NA,NA,NA,NA,Success,D3W2_S33_L001_R1_001.fastq.gz,D3W2_S33_L001_R2_001.fastq.gz
35,D1S15,B2_rock,Rock,2,NA,#N/A,8/07/2019,No_comment,Continuous,Boat,NA,NA,NA,NA,Success,D1S15_S41_L001_R1_001.fastq.gz,D1S15_S41_L001_R2_001.fastq.gz
36,D2S12,B16B,Corraline,16,Crusticorallina painei,Crusticorallina painei,09/07/2019,No_comment,Continuous,Boat,B16B_DSC_3267.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S12_S53_L001_R1_001.fastq.gz,D2S12_S53_L001_R2_001.fastq.gz
37,D1S4,B2B,Corraline,2,Crusticorallina maricata,Crusticorallina muricata,8/07/2019,No_comment,Continuous,Boat,B2B_DSC_3202.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D1S4_S45_L001_R1_001.fastq.gz,D1S4_S45_L001_R2_001.fastq.gz
38,D4W2,Water6,Water,Other,NA,#N/A,11/07/2019,No_comment,Continuous,Laboratory,NA,NA,NA,NA,Success,D4W2_S57_L001_R1_001.fastq.gz,D4W2_S57_L001_R2_001.fastq.gz
39,D2S14,B16A,Corraline,16,Crusticorallina maricata,Crusticorallina muricata,09/07/2019,No_comment,Continuous,Boat,B16A_DSC_3267.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D2S14_S69_L001_R1_001.fastq.gz,D2S14_S69_L001_R2_001.fastq.gz
40,D4S10,B28C,Corraline,28,Bossiella mayae,Bossiella mayae,11/07/2019,No_comment,Continuous,Boat,B28C_DSC_3342.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S10_S81_L001_R1_001.fastq.gz,D4S10_S81_L001_R2_001.fastq.gz
41,D4S18,B29B,Corraline,29,Bossiella exarticulata,Bossiella exarticulata,11/07/2019,No_comment,Continuous,Boat,B29B_DSC_3346.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S18_S93_L001_R1_001.fastq.gz,D4S18_S93_L001_R2_001.fastq.gz
42,D4S36,B30A,Corraline,30,Bossiella exarticulata,Bossiella exarticulata,11/07/2019,No_comment,Continuous,Boat,B30A_DSC_3349.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S36_S82_L001_R1_001.fastq.gz,D4S36_S82_L001_R2_001.fastq.gz
43,D4S32,Net_7,Net,32,NA,#N/A,11/07/2019,No_comment,Continuous,Boat,NA,NA,NA,NA,Success,D4S32_S18_L001_R1_001.fastq.gz,D4S32_S18_L001_R2_001.fastq.gz
44,D4S02,B29D,Corraline,29,Chiharaea americana,Chiharaea americana,11/07/2019,Part of B29D,Continuous,Boat,B29D_DSC_3346.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S02_S71_L001_R1_001.fastq.gz,D4S02_S71_L001_R2_001.fastq.gz
45,D4S21,Net_4,Net,28,NA,#N/A,11/07/2019,No_comment,Continuous,Boat,NA,NA,NA,NA,Success,D4S21_S30_L001_R1_001.fastq.gz,D4S21_S30_L001_R2_001.fastq.gz
46,D4S19,B29D,Corraline,29,Chiharaea americana,Chiharaea americana,11/07/2019,No_comment,Continuous,Boat,B29D_DSC_3346.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S19_S42_L001_R1_001.fastq.gz,D4S19_S42_L001_R2_001.fastq.gz
47,D4S20,B28A,Corraline,28,Bossiella mayae,Bossiella mayae,11/07/2019,No_comment,Continuous,Boat,B28A_DSC_3342.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S20_S24_L001_R1_001.fastq.gz,D4S20_S24_L001_R2_001.fastq.gz
48,D1W1,Water1,Water,Other,NA,#N/A,8/07/2019,No_comment,NA,Boat,NA,NA,NA,NA,Success,D1W1_S54_L001_R1_001.fastq.gz,D1W1_S54_L001_R2_001.fastq.gz
49,D4S06,B28F,Corraline,28,Crusticorallina painei,Crusticorallina painei,11/07/2019,No_comment,Continuous,Boat,B28F_DSC_3342.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S06_S36_L001_R1_001.fastq.gz,D4S06_S36_L001_R2_001.fastq.gz
50,D4S57,B33_red_crust,Red_crust,33,Red Crust,Peyssonnelia sp10BC,11/07/2019,No_comment,Continuous,Boat,B33rc_DSC_3361.jpg,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S57_S48_L001_R1_001.fastq.gz,D4S57_S48_L001_R2_001.fastq.gz
51,D4S59,B33D,Corraline,33,Crusticorallina painei,Crusticorallina painei,11/07/2019,No_comment,Continuous,Boat,B33D_DSC_3361.jpg,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S59_S66_L001_R1_001.fastq.gz,D4S59_S66_L001_R2_001.fastq.gz
52,D4S66,B35E,Corraline,35,Bossiella exarticulata,Bossiella exarticulata,11/07/2019,No_comment,Continuous,Boat,B35E_DSC_3365.png,"Rattenbury Island, Calvert Island, Central Coast, BC, Canada",51.70118,-128.0739,Success,D4S66_S78_L001_R1_001.fastq.gz,D4S66_S78_L001_R2_001.fastq.gz
